,L,FD,Atractores,Id,time
0,-1.2022147097856775,0.6738262212791963,2,YLDHPWKPHOLK,0.03303647041320801
1,9.974683086266834,0.0,3,BCCCPGUADRKIWXYLIL,0.005505084991455078
2,0.5008502110797308,1.4842981923331833,4,DFFQMNEQDOCXTHSRDFPDKFQA,0.03309226036071777
3,-0.9535732947075074,0.9991294326288989,2,TFLJRJLDIQKL,0.039557695388793945
4,26.18474590194869,0.0,3,BDRJAROKPEJCCBSKIL,0.0013298988342285156
5,-1.4750099719328673,0.9945360007370101,4,FQLIFTJAOVUOOVNKSQAJFPXQ,0.03388071060180664
6,-1.9918796443679347,0.6663235470705545,2,YANTEUNDMPYI,0.03273200988769531
7,-0.2673985087018629,1.2604675129204566,3,NYGHSVPUSMQKDNNDOL,0.7114999294281006
8,1.0042462526423357,1.4548432456788374,4,FFFCKVLGHQPSCUJIXSMBWJFP,0.03286433219909668
9,-0.2800905806497766,1.4200259629393122,2,KXNAWPFTNRFP,0.6831142902374268
10,-0.21974783879539783,1.0803689187278498,3,LKOWJMKKVPVHYBPLGV,0.6959216594696045
11,2.543827923378321,1.8228196226578375,4,KKQYDAGFKDSACRESKXFUBIYS,0.03294229507446289
12,0.6357474301999754,0.579629519604896,2,OGXLQUAAQQCT,0.03272557258605957
13,-1.3091554633971532,0.831086403377628,3,QXOQTMMXMJLIMEGNAS,0.032860517501831055
14,0.10960401033504275,1.63346664304502,4,HTFKLLLCCBUUQTAYRUBNRBRS,0.03320574760437012
15,-0.15183734090738116,0.0,2,IVWEJLSOHRQT,0.03200531005859375
16,4.799624133303954,1.5469204091962852,3,USOYMEGDBEKTENLAMM,0.03273892402648926
17,0.36669408822940175,1.3334457948726601,4,LJGKWMOUWTQRXXKVQURALXOA,0.03326606750488281
18,-0.19575806847742247,1.034760958063127,2,RQVIAHFENMBG,0.032727956771850586
19,-0.2265661350903179,0.0,3,DLVREQHLSSXJHMEWJV,0.032000064849853516
20,9.036141618525562,0.0,4,SJBRHMOQFAEQQNBUYSNIKUVN,0.017229080200195312
21,7.5197049072821205,0.6829962204902826,2,CXAYRYMLNAVJ,0.012665271759033203
22,-0.7410624288787938,0.8846055997179062,3,KSRLOBUPKGHAWLSDNN,0.032767534255981445
23,2.216549066177206,0.8019532751892864,4,KEGGWURGWATRLDGWFGMHQWPG,0.0331571102142334
24,-0.1997677216876883,1.4405576692453386,2,TKMRMVDCQJSU,0.2868165969848633
25,1.9515786830564237,0.8894513292085295,3,XHDVHCMUNDERRDTMAH,0.033178091049194336
26,-0.4364120772186179,1.4322548668462733,4,HRDTQGUQOHBHDGTWTSKQKQPU,0.710883378982544
27,-1.5689171743431123,0.5814728153297174,2,OORJLMTJEMSA,0.03277707099914551
28,2.0085826979814105,1.6467285589971103,3,AMAJESBDWOEUNNAURQ,0.03295278549194336
29,1.106897518647332,2.0170311011517033,4,FDTKAEUCMRSRJOLAEQBYTGXA,0.03284311294555664
30,-1.0395929195062399,0.8361422695574033,2,PYLLEQWPRNQD,0.032469987869262695
31,1.5338206990170056,1.5006006854659373,3,HPCJXECMVJNKBVYQGG,0.032521963119506836
32,0.464343806098885,1.255271112223757,4,VPBHXIMSESSCCDHNNXYYEHLL,0.033017873764038086
33,1.218795571557362,1.2304475560435504,2,KGBAYFCBUWVO,0.03226447105407715
34,-0.04715679242259741,1.0881348812794547,3,MGAUJDGOONELMBFJSO,0.033014774322509766
35,0.954312504007768,0.0,4,BUJOHAGBHEXSGLRXJNWHWSEX,0.03186941146850586
36,-3.469325818696844,0.3935915739179595,2,QALNVVMLKLPX,0.03271484375
37,-0.4418929427233361,0.8016314567232821,3,HHLOIUMXGLUHBDMVVT,0.03288412094116211
38,1.4201308078704458,1.5255414441836248,4,SNSIELPRVREITGRGBPKCCVHR,0.03306293487548828
39,-1.0405805823178602,0.8808126149095558,2,HNUMYEGPUWTH,0.03255057334899902
40,1.68714732216199,0.18593838350480718,3,ASMIKRSWIQWRXGBHFC,0.033204078674316406
41,1.8259505741896405,1.12493748835013,4,JSCOYHGGVSFLMCPBWGANUFPM,0.03293299674987793
42,-0.12606182990326356,1.1613667135540449,2,HYKSCMNKNXVC,0.0334165096282959
