"","L","FD","Atractores","Generador"
"1",-0.514264919113374,1.10036932412083,2,"continuo"
"2",-0.440889957053104,1.27666923318111,2,"continuo"
"3",-0.452994798728418,1.09303114509074,2,"continuo"
"4",-0.276946276374566,1.1160250650864,2,"continuo"
"5",-0.38699950540126,1.01888421358151,2,"continuo"
"6",-0.279203732433763,1.85733043549196,2,"continuo"
"7",-0.504376230362597,1.61804630128831,2,"continuo"
"8",-0.495136829470298,1.35024652006758,2,"continuo"
"9",-0.388765518634656,1.55109958594342,2,"continuo"
"10",-0.251945111506256,1.09964307980443,2,"continuo"
"11",-0.711574132320765,1.51188168335795,2,"continuo"
"12",-0.406890062780942,1.12493748835013,2,"continuo"
"13",-0.449090478909451,1.09773523568195,2,"continuo"
"14",-0.566588994416793,1.14736583464857,2,"continuo"
"15",-0.293749879464879,1.58733497316152,2,"continuo"
"16",-0.54778310666394,1.56347935051946,2,"continuo"
"17",-0.318213925585772,1.49692798704528,2,"continuo"
"18",-0.676249267475572,1.16435156379144,2,"continuo"
"19",-0.378689136244578,1.12036037099378,2,"continuo"
"20",-0.542593789897059,1.07242572890836,2,"continuo"
"21",-0.429874462787072,1.16694658474332,2,"continuo"
"22",-0.511354958240432,1.21218625933242,2,"continuo"
"23",-0.309712689240413,1.59353042772813,2,"continuo"
"24",-0.450663864308185,1.56819998395391,2,"continuo"
"25",-0.49845889857644,1.00114026816906,2,"continuo"
"26",-0.448282200958929,1.01378715956259,2,"continuo"
"27",-0.546562239759969,1.75204650370576,2,"continuo"
"28",-0.310401877870449,1.28121626806098,2,"continuo"
"29",-0.541672145361935,1.20682453690981,2,"continuo"
"30",-0.543635141675951,1.01772763766494,2,"continuo"
"31",-0.236565007505101,1.03494150015677,2,"continuo"
"32",-0.49907507642781,1.0386282498688,2,"continuo"
"33",-0.453210865497013,1.43933109671325,2,"continuo"
"34",-0.451081736453717,2.07187970829769,2,"continuo"
"35",-0.907859370762399,1.12130320772772,2,"continuo"
"36",-0.277745739936034,1.37291047955504,2,"continuo"
"37",-0.388823811864465,1.02530472756155,2,"continuo"
"38",-0.381001687299905,1.35355754499959,2,"continuo"
"39",-0.451894136421087,1.0244413197225,2,"continuo"
"40",-0.592071411286637,1.0690087639961,2,"continuo"
"41",-0.463710999254417,1.22616876281213,2,"continuo"
"42",-0.320174104278115,1.51410314088693,2,"continuo"
"43",-0.323011436835777,1.78175339757529,2,"continuo"
"44",-0.239705676856915,1.33700373221785,2,"continuo"
"45",-0.662181440981406,1.18020651566448,2,"continuo"
"46",-0.747912762984807,1.12072221232335,2,"continuo"
"47",-0.456232038438313,1.0205610264754,2,"continuo"
"48",-0.58616602524807,1.07918004856303,2,"continuo"
"49",-0.560281630129768,1.02256469323593,2,"continuo"
"50",-0.432318725238886,1.03571440301248,2,"continuo"
"51",-1.46467587603136,1.24509982765683,2,"continuo"
"52",-0.455621688601669,1.8779448678156,2,"continuo"
"53",-0.494598903216019,1.37314786354564,2,"continuo"
"54",-0.683712295865006,1.47711961567158,2,"continuo"
"55",-0.409472624471904,1.29280823088564,2,"continuo"
"56",-0.501940459886289,1.13942800899233,2,"continuo"
"57",-0.889801331447759,1.26951153553685,2,"continuo"
"58",-0.333857737127869,1.89762498563931,2,"continuo"
"59",-0.47297999170586,1.21748259326542,2,"continuo"
"60",-0.454447967416276,1.13777469881082,2,"continuo"
"61",-0.562179165645922,1.19160210300307,2,"continuo"
"62",-0.291854863070778,1.23630329419493,2,"continuo"
"63",-0.528653778406176,1.2041186465364,2,"continuo"
