AustriaT
3128,525
3383,029
4107,7
3692,76
3543,312
3988,392
3742,54
3144,904
4196,761
4038,936
4381,495
3821,971
3617,452
4169,271
4740,423
3994,445
4813,688
4201,748
4264,706
3752,484
4662,624
4925,383
5106,145
4075,261
4686,848
4597,025
5270,993
4639,161
4944,978
4640,336
4711,481
3993,31
4661,17
5154,196
5024,607
3957,033
4650,78
4670,899
5047,072
5120,723
4886,725
5159,681
5147,018
4000,585
5187,196
5677,319
5355,763
4343,749
4921,597
4821,582
5350,074
5139,591
4987,159
4876,278
5426,429
4064,978
5588,447
5978,376
5665,301
4829,41
4867,349
5380,071
6281,756
5933,147
5173,366
5788,278
5521,145
4581,808
5953,701
5999,551
6366,429
5358,94
4880,15
5343,569
6098,484
5849,476
5589,879
6221,984
5629,504
4999,792
6363,939
6283,85
6682,455
5601,994
5470,445
5672,354
6827,465
5727,549
6542,129
6381,964
6139,099
5521,764
6685,9
7131,387
7318,817
6196,487
6466,802
6599,109
7498,567
6807,27
7052,421
7150,811
7044,009
6100,75
7146,663
8099,497
7912,263
6025,584
7208,795
7469,888
7456,094
8044,336
7197,143
7801,913
7657,204
6028,719
7949,849
7832,868
6657,948
5385,6
5268,675
5309,767
6084,67
5519,33
5490,23
5710,16
5913,557
4723,593
6357,936
6388,892
6417,203
5256,097
5227,88
5760,721
6910,071
6478,557
6599,063
7172,562
6703,777
5800,203
7413,355
7378,441
7698,558
6460,494
6365,962
7050,884
8199,86
7142,516
7795,843
7190,278
7159,762
6624,737
7842,109
7514,564
7867,312
6431,351
6789,844
7260,396
7914,393
7133,073
7433,939
7261,391
7358,592
6671,171
7746,685
8037,081
7574,851
6055,325
7225,668
6996,532
7535,62
7718,232
7251,311
7374,916
7629,048
6367,998
7922,23
8675,504
7650,514
6314,795
7127,584
7105,125
8152,964
7750,932
7385,048
7315,964
7791,529
6064,09
7970,459
8298,188
8056,276
6643,498
6968,735
7152,866
8289,264
7737,66
7152,111
8214,199
8018,916
6570,432
8175,478
8182,797
8626,203
7087,854
6950,816
7729,68
8244,109
8000,866
7508,635
8360,557
7382,297
6955,292
8183,769
7842,02
8500,236
7175,12
8625,444
8016,49
9135,086
7923,096
8893,034
8323,316
8236,741
7661,927
8788,938
9426,761
9464,826
7354,687
8746,565
8530,598
9958,905
8909,09
8895,72
9420,17
9006,416
7987,187
8811,963
9984,739
9614,546
7486,585
9120,779
9325,389
9633,427
9173,268
9372,828
8679,854
9454,422
7641,236
9256,822
10145,471
9037,653
7467,109
8814,066
8799,715
9449,733
7097,748
7038,863
8319,544
8926,925
7474,238
9220,802
9372,329
9453,951
7849,99
